Estado,id,Município,Projetos,C. Média,C.Mediana,PIB,EXP,PROJ*PIB,PROJ*EXP
São Paulo,3550308,São Paulo,780,"2,1","1,0",763.597.808,"4.192.702.560,00",,
São Paulo,3509502,Campinas,416,"1,7","1,0",65.837.258,"1.088.709.770,00",,
São Paulo,3548906,São Carlos,381,"1,6","1,0",11.811.263,"484.471.886,00",,
São Paulo,3549904,São José dos Campos,226,"1,7","1,0",43.562.280,"3.962.335.701,00",,
São Paulo,3543402,Ribeirão Preto,156,"2,6","1,5",35.444.536,"174.467.955,00",,
São Paulo,3538709,Piracicaba,112,"2,5","2,0",27.875.682,"2.332.240.405,00",,
São Paulo,3552205,Sorocaba,50,"2,5","2,0",37.272.884,"1.026.269.647,00",,
São Paulo,3507506,Botucatu,47,"2,0","1,0",5.139.636,"226.633.623,00",,
São Paulo,3549805,São José do Rio Preto,39,"2,1","1,0",18.802.831,"24.144.010,00",,
São Paulo,3503208,Araraquara,35,"2,3","2,0",10.030.033,"515.321.495,00",,
São Paulo,3536505,Paulínia,25,"2,0","1,0",37.366.101,"877.815.167,00",,
São Paulo,3548807,São Caetano do Sul,24,"2,0","1,0",13.656.307,"216.772.284,00",,
São Paulo,3524303,Jaboticabal,23,"2,0","1,0",2.951.774,"55.932.873,00",,
São Paulo,3548708,São Bernardo do Campo,23,"1,9","1,0",51.011.495,"2.634.971.623,00",,
São Paulo,3530607,Mogi das Cruzes,21,"1,7","1,0",16.290.277,"145.749.727,00",,
São Paulo,3547304,Santana de Parnaíba,20,"2,6","1,5",9.475.380,"43.025.459,00",,
São Paulo,3520509,Indaiatuba,17,"2,1","1,0",16.712.153,"467.635.743,00",,
São Paulo,3547809,Santo André,17,"1,7","1,0",30.316.632,"436.895.250,00",,
São Paulo,3513009,Cotia,16,"1,6","1,0",13.381.293,"203.889.501,00",,
São Paulo,3539301,Pirassununga,15,"2,1","1,0",2.870.650,"49.371.869,00",,
São Paulo,3556206,Valinhos,15,"2,1","1,0",6.569.125,"133.240.400,00",,
São Paulo,3526902,Limeira,15,"1,5","1,0",13.798.073,"522.636.387,00",,
São Paulo,3525904,Jundiaí,14,"2,1","1,0",46.959.283,"580.831.467,00",,
São Paulo,3543907,Rio Claro,14,"1,6","1,0",10.519.723,"127.430.637,00",,
